HERO,ID,Wiki-ID (see https://overwatch.gamepedia.com/Heroes),Reveal-Date,Release-Date
,,,,
ANA,315,22,12.07.2016,19.07.2016
ASHE,512,29,02.11.2018,13.11.2018
BAPTISTE,545,30,25.02.2019,19.03.2019
BASTION,21,11,07.11.2014,24.05.2016
BRIGITTE,405,27,28.02.2018,20.03.2018
D_VA,122,19,06.11.2015,24.05.2016
DOOMFIST,303,25,06.07.2017,27.07.2017
GENJI,41,21,06.11.2015,24.05.2016
HANZO,5,8,07.11.2014,24.05.2016
JUNKRAT,101,18,22.09.2015,24.05.2016
LUCIO,121,16,05.08.2015,24.05.2016
MCCREE,66,14,06.03.2015,24.05.2016
MEI,221,20,06.11.2015,24.05.2016
MERCY,4,6,07.11.2014,24.05.2016
MOIRA,418,26,03.11.2017,16.11.2017
ORISA,318,24,02.03.2017,21.03.2017
PHARAH,8,4,07.11.2014,24.05.2016
REAPER,2,2,07.11.2014,24.05.2016
REINHARDT,7,5,07.11.2014,24.05.2016
ROADHOG,64,17,22.09.2015,24.05.2016
SIGMA,571,31,22.07.2019,13.08.2019
SOLDIER_76,110,15,07.07.2015,24.05.2016
SOMBRA,302,23,04.11.2016,15.11.2016
SYMMETRA,22,12,07.11.2014,24.05.2016
TORBJOERN,6,7,07.11.2014,24.05.2016
TRACER,3,1,07.11.2014,24.05.2016
WIDOWMAKER,10,3,07.11.2014,24.05.2016
WINSTON,9,9,07.11.2014,24.05.2016
WRECKING_BALL,458,28,28.06.2018,24.07.2018
ZARYA,104,13,06.03.2015,24.05.2016
ZENYATTA,32,10,07.11.2014,24.05.2016
